,county,2012_reg_voters,2012_voted_num,2012_voted_perc,2012_early_vote_num,2012_early_vote_perc,2016_reg_voters,2016_voted_num,2016_voted_perc,2016_early_vote_num,2016_early_vote_perc,2020_reg_voters,2020_voted_num,2020_voted_perc,2020_early_vote_num,2020_early_vote_perc
156,anderson county,"26,494","16,168",61.03%,"9,322",35.19%,"28,111","16,887",60.07%,"10,792",38.39%,"29,274","19,155",65.43%,14459,75.48%
13,andrews county,"8,271","4,478",54.14%,"2,914",35.23%,"9,130","4,941",54.12%,"3,429",37.56%,"10,272",5856,57.01%,4776,81.56%
243,angelina county,"49,317","28,460",57.71%,"17,548",35.58%,"51,610","29,896",57.93%,"20,428",39.58%,"53,166",34628,65.13%,"28,676",82.81%
82,aransas county,"15,883","9,646",60.73%,"6,535",41.14%,"17,263","10,486",60.74%,"8,421",48.78%,"18,306","12,241",66.87%,"10,983",87.72%
67,archer county,"6,322","4,163",65.85%,"1,659",26.24%,"6,314","4,277",67.74%,"2,284",36.17%,"6,538","4,796",73.36%,"3,623",75.54%
201,armstrong county,"1,431",935,65.34%,471,32.91%,"1,391","1,021",73.4%,569,40.91%,"1,498","1,112",74.23%,846,76.08%
88,atascosa county,"24,213","12,705",52.47%,"6,453",26.65%,"26,488","13,636",51.48%,"8,188",30.91%,"29,409","18,085",61.49%,"14,759",81.61%
3,austin county,"18,005","11,644",64.67%,"6,046",33.58%,"19,263","12,273",63.71%,"7,351",38.16%,"20,293","14,368",70.80%,"11,550",80.39%
222,bailey county,"3,527","1,813",51.40%,887,25.15%,"3,714","1,792",48.25%,995,26.79%,"3,539","1,854",52.39%,"1,282",69.15%
241,bandera county,"14,830","9,440",63.65%,"6,067",40.91%,"15,524","10,214",65.79%,"8,029",51.72%,"17,098","12,703",74.30%,"11,074",87.18%
233,bastrop county,"39,929","24,458",61.25%,"15,632",39.15%,"45,137","28,424",62.97%,"21,188",46.94%,"52,096","36,612",70.28%,"31,298",85.49%
25,baylor county,"2,532","1,592",62.88%,942,37.20%,"2,433","1,499",61.61%,974,40.03%,"2,408","1,680",69.77%,"1,373",81.73%
160,bee county,"14,886","7,876",52.91%,"4,427",29.74%,"15,709","8,483",54%,"5,258",33.47%,"2,408","1,680",69.77%,"1,373",81.73%
191,bell county,"163,528","85,797",52.47%,"50,930",31.14%,"186,533","94,551",50.69%,"66,820",35.82%,"21,5974","125,559",58.14%,"102,935",81.98%
116,bexar county,"918,552","511,411",55.68%,"234,619",25.54%,"1,045,357","586,051",56.06%,"466,386",44.61%,"1,189,373","756,039",63.57%,"672,591",88.96%
15,blanco county,"7,195","4,972",69.10%,"2,548",35.41%,"8,033","5,685",70.77%,"3,745",46.62%,"9,344",",7419",79.40%,"6,432",86.70%
8,borden county,431,363,84.22%,195,45.24%,463,365,78.83%,214,46.22%,499,412,82.57%,306,74.27%
0,bosque county,"11,977","7,343",61.31%,"2,563",21.40%,"12,002","7,823",65.18%,"3,898",32.48%,"12,724","9,094",71.47%,"6,535",71.86%
27,bowie county,"57,307","35,357",61.70%,"19,689",34.36%,"59,083","34,603",58.57%,"20,241",34.26%,"61,407","38,138",62.11%,"29,978",78.60%
68,brazoria county,"178,505","106,423",59.62%,"79,575",44.58%,"196,507","120,911",61.53%,"98,652",50.2%,"224,256","15,4037",68.69%,"139,447",90.53%
26,brazos county,"91,496","55,866",61.06%,"34,844",38.08%,"106,804","67,029",62.76%,"46,926",43.94%,"122,137","84,753",69.39%,"71,847",84.77%
34,brewster county,"6,782","3,866",57.00%,"2,707",39.91%,"7,369","4,241",57.55%,"3,097",42.03%,"7,524","4,805",63.86%,"3,978",82.79%
20,briscoe county,"1,141",700,61.35%,305,26.73%,"1,096",736,67.15%,349,31.84%,"1,025",724,70.63%,452,62.43%
77,brooks county,"6,622","2,403",36.29%,"1,123",16.96%,"6,428","2,596",40.39%,"1,536",23.9%,"5,521","2,484",44.99%,"1,821",73.31%
1,brown county,"22,565","13,944",61.79%,"8,713",38.61%,"23,424","14,018",59.84%,"9,986",42.63%,"23,954","15,940",66.54%,"12,544",78.70%
140,burleson county,"10,926","6,456",59.09%,"3,377",30.91%,"11,637","6,960",59.81%,"4,352",37.4%,"12,440","8,604",69.16%,"6,680",77.64%
142,burnet county,"26,636","16,779",62.99%,"10,685",40.11%,"29,587","19,146",64.71%,"13,784",46.59%,"33,697","24,646",73.14%,"20,840",84.56%
109,caldwell county,"20,791","11,061",53.20%,"6,418",30.87%,"22,560","11,764",52.15%,"8,260",36.61%,"25,945","14,775",56.95%,"12,320",83.38%
130,calhoun county,"12,511","6,749",53.94%,"3,441",27.50%,"12,863","6,965",54.15%,"4,251",33.05%,"13,080","7,853",60.04%,"5,695",72.52%
234,callahan county,"8,869","5,195",58.57%,"2,536",28.59%,"9,192","5,571",60.61%,"4,311",46.9%,"9,773","6,826",69.85%,"5,495",80.50%
221,cameron county,"180,389","74,802",41.47%,"41,548",23.03%,"197,726","91,804",46.43%,"62,986",31.86%,"218,910","113,635",51.91%,"95,754",84.26%
125,camp county,"7,194","4,332",60.22%,"2,603",36.18%,"7,582","4,542",59.91%,"3,247",42.83%,"7,904","5,057",63.98%,"4,296",84.95%
56,carson county,"4,285","2,777",64.81%,"1,071",24.99%,"4,317","2,961",68.59%,"1,353",31.34%,"4,345","3,081",70.91%,"1,895",61.51%
