county,Probability County=Democrat
anderson county,0.020134291278642472
andrews county,0.0707119197862932
angelina county,0.04697715358956341
aransas county,0.0135018638440955
archer county,0.0022151793622276097
armstrong county,0.0007856808167669273
atascosa county,0.19005687284258113
austin county,0.02113533302170039
bailey county,0.14581748771411973
bandera county,0.0023702274598557216
bastrop county,0.03191980489864913
baylor county,0.0027304395532201067
bee county,0.2599946941070667
bell county,0.15248837056647663
bexar county,0.7915912059529956
blanco county,0.0020726212795825222
borden county,0.0010808771526211098
bosque county,0.003695037733691932
bowie county,0.028829260791167835
brazoria county,0.1518506271045049
brazos county,0.2003833320518493
brewster county,0.034045822414804354
briscoe county,0.007655379435670927
brooks county,0.9446523929333892
brown county,0.00996393919494024
burleson county,0.0140732940820162
burnet county,0.004439792118849834
caldwell county,0.10349656901834485
calhoun county,0.09624145513774089
callahan county,0.006110170430611586
cameron county,0.8378448539665024
camp county,0.05925040370384736
carson county,0.002219440764713031
cass county,0.01565617334922476
castro county,0.10807272499419406
chambers county,0.025238792482463135
cherokee county,0.032100042111258234
childress county,0.01687891685886461
clay county,0.0022175551190425314
cochran county,0.12231131396352884
coke county,0.0035746987684976243
coleman county,0.007205466913422484
collin county,0.11176153747975809
collingsworth county,0.019076478472634956
colorado county,0.02416779777483725
comal county,0.006508965220452189
comanche county,0.008539613453997418
concho county,0.028359584247439455
cooke county,0.006188264020336212
coryell county,0.11040584403832601
cottle county,0.012057760042979293
crane county,0.24319096281962177
crockett county,0.28266854115419027
crosby county,0.12691331249125362
culberson county,0.41851839286698045
dallam county,0.03499410418198575
dallas county,0.876272088521687
dawson county,0.1478772560122886
deaf smith county,0.17573977193192045
delta county,0.00380812181748613
denton county,0.07044069478034572
dewitt county,0.04058616874660242
dickens county,0.010986993267866563
dimmit county,0.7629266279386566
donley county,0.0037274355771240385
duval county,0.9077128497911087
eastland county,0.012426309885076045
ector county,0.3369680186432627
edwards county,0.04943501271598454
ellis county,0.5357488281167412
el paso county,0.3252173995079549
erath county,0.0273137933301185
falls county,0.05068711075046912
fannin county,0.004364209682981209
fayette county,0.004697265426443316
fisher county,0.011027818585893419
floyd county,0.1714934610016284
foard county,0.0025666829757426215
fort bend county,0.42844732810426145
franklin county,0.006062748072011728
freestone county,0.022913019495263923
frio county,0.4955569883378873
gaines county,0.07843632340811205
galveston county,0.09936222097876893
garza county,0.0452476881205088
gillespie county,0.0018591933659111751
glasscock county,0.01033384062141564
goliad county,0.029850015046143864
gonzales county,0.07917112885557469
gray county,0.03153663079687705
grayson county,0.014147241197145426
gregg county,0.06841483121085566
grimes county,0.03640953991892297
guadalupe county,0.04209779591525184
hale county,0.19801014834360803
hall county,0.04795193028431164
hamilton county,0.002391348537088015
hansford county,0.035979391597012474
hardeman county,0.010727594330761835
hardin county,0.007768129600074856
harris county,0.9898372029695889
harrison county,0.04094411678521977
hartley county,0.004641748720726927
haskell county,0.009875790543225028
hays county,0.05500905674782782
hemphill county,0.009280107816785668
henderson county,0.006936511421956916
hidalgo county,0.9103923995320291
hill county,0.009326034135205703
hockley county,0.06921279746691886
hood county,0.0035762134165193207
hopkins county,0.018117418633118915
houston county,0.01838288704625688
howard county,0.049390972462212905
hudspeth county,0.5474374622566767
hunt county,0.015806256501758285
hutchinson county,0.014766410885265866
irion county,0.004742182559795462
jack county,0.006023010602747334
jackson county,0.02414442737110264
jasper county,0.022325784935039547
jeff davis county,0.008192847524038939
jefferson county,0.37150499307940776
jim hogg county,0.9019742039201402
jim wells county,0.8034905536949494
johnson county,0.01405885945801712
jones county,0.023258913270060858
karnes county,0.08600848846361991
kaufman county,0.01946569617236613
kendall county,0.003018089804678333
kenedy county,0.4968254540841762
kent county,0.001613498204676136
kerr county,0.004981373233563856
kimble county,0.0038463107855707655
king county,0.0022605677619836188
kinney county,0.10656008028337183
kleberg county,0.5732676632353456
knox county,0.022214367791329806
lamar county,1.3238700323466034e-06
lamb county,0.15371421186191558
lampasas county,0.00010733483473455574
la salle county,0.2990545668107292
lavaca county,0.0056874609086619505
lee county,0.021509821278018704
leon county,0.007867342017484843
liberty county,0.04801369567627068
limestone county,0.03180633054686986
lipscomb county,0.013174892651070918
live oak county,0.030421331975883727
llano county,0.0007703964847845011
loving county,0.0023501624481495624
lubbock county,0.12794635781188737
lynn county,0.05884430043484402
mcculloch county,0.0004302935851003026
mclennan county,2.0367420679374492e-07
mcmullen county,0.4690754176928205
madison county,0.007373812646845225
marion county,0.5496981999293875
martin county,2.859808281085845e-07
mason county,0.1494871111591204
matagorda county,0.00025500708577384215
maverick county,0.9894477398247277
medina county,0.10556831720426198
menard county,0.013725584412779025
midland county,0.09802189488462987
milam county,0.03906034097804588
mills county,0.004579208759452566
mitchell county,0.0717429798355212
montague county,0.0052060842476110035
montgomery county,0.0323407241331727
moore county,0.1261037486815256
morris county,0.09151711884795602
motley county,0.0016949516215727523
nacogdoches county,0.06260822646934006
navarro county,0.05241885327640799
newton county,0.026466119059851655
nolan county,0.03561776457500803
nueces county,0.3816927634190466
ochiltree county,0.09642907461173301
oldham county,0.004817226909451755
orange county,0.013655596030496413
palo pinto county,0.015935934083009914
panola county,0.02269705981693717
parker county,0.008298688795669735
parmer county,0.09852328231893441
pecos county,0.28390597490645497
polk county,0.013456812040266187
potter county,0.13459851732901637
presidio county,0.8741080239779366
rains county,0.0017076966834329423
randall county,0.015151238449840988
reagan county,0.17063332888734947
real county,0.008678102570169615
red river county,0.012575959218838778
reeves county,0.4233273379809614
refugio county,0.1371387822396063
roberts county,0.0019073616329203548
robertson county,0.03441285437639663
rockwall county,0.008089627269441138
runnels county,0.016770160420432303
rusk county,0.047715008834668095
sabine county,0.006171274388182091
san augustine county,0.030959951725236485
san jacinto county,0.02192619483007648
san patricio county,0.23285302125324406
san saba county,0.009586746072358533
schleicher county,0.055695251504112246
scurry county,0.047314317727384696
shackelford county,0.002436685181960795
shelby county,0.03723656823276988
sherman county,0.02066479904375795
smith county,0.07460953557984866
somervell county,0.0077115584530063385
starr county,0.9701564425490204
stephens county,0.009802951160001261
sterling county,0.01533696173372966
stonewall county,0.0029327989261999825
sutton county,0.23219466609860331
swisher county,0.08970130697878913
tarrant county,0.48979424118228126
taylor county,0.04949291890402798
terrell county,0.05498667610664286
terry county,0.09976689144349829
throckmorton county,0.0015918542486717585
titus county,0.1216237477050712
tom green county,0.09035424087681403
travis county,0.3403480946700802
trinity county,0.005802931690852199
tyler county,0.008680706163680153
upshur county,0.010913922894416055
upton county,0.09076626189972199
uvalde county,0.31695797664217445
val verde county,0.6207207429925828
van zandt county,0.003877243987484712
victoria county,0.1702181972024858
walker county,0.05250485440067225
waller county,0.11147864774078896
ward county,0.11472102782643871
washington county,0.016880259077186394
webb county,0.8001766544471262
wharton county,0.13465728050379747
wheeler county,0.013135193111099359
wichita county,0.030221201124250783
wilbarger county,0.02839914036979856
willacy county,0.92162726095546
williamson county,0.060528182217225994
wilson county,0.02137903706199369
winkler county,0.19717692467766693
wise county,0.00954880037155104
wood county,0.002852635140105618
yoakum county,0.14809257201965934
young county,0.009336767008169308
zapata county,0.9052642801685165
zavala county,0.9680251687452143
