FIPS,county,census_2010_count,july1_2012_pop_est,jan1_2013_pop_est,num_chg_10_12,num_chg_10_13,pct_chg_10_12,pct_chg_10_13
1,Anderson,58458,58964,59080,506,622,0.9,1.1
3,Andrews,14786,16039,16402,1253,1616,8.5,10.9
5,Angelina,86771,88850,89149,2079,2378,2.4,2.7
7,Aransas,23158,23825,24066,667,908,2.9,3.9
9,Archer,9054,8996,9041,-58,-13,-0.6,-0.1
11,Armstrong,1901,1940,1944,39,43,2.1,2.3
13,Atascosa,44911,46956,47260,2045,2349,4.6,5.2
15,Austin,28417,28837,28924,420,507,1.5,1.8
17,Bailey,7165,7301,7312,136,147,1.9,2.1
19,Bandera,20485,20738,20778,253,293,1.2,1.4
21,Bastrop,74171,77140,77762,2969,3591,4,4.8
23,Baylor,3726,3765,3774,39,48,1,1.3
25,Bee,31861,32445,32514,584,653,1.8,2
27,Bell,310235,322817,325342,12582,15107,4.1,4.9
29,Bexar,1714773,1784731,1798959,69958,84186,4.1,4.9
31,Blanco,10497,10805,10870,308,373,2.9,3.6
33,Borden,641,648,650,7,9,1.1,1.4
35,Bosque,18212,18485,18553,273,341,1.5,1.9
37,Bowie,92565,93857,94136,1292,1571,1.4,1.7
39,Brazoria,313166,324663,327063,11497,13897,3.7,4.4
41,Brazos,194851,201514,203119,6663,8268,3.4,4.2
43,Brewster,9232,9374,9402,142,170,1.5,1.8
45,Briscoe,1637,1652,1649,15,12,0.9,0.7
47,Brooks,7223,7303,7308,80,85,1.1,1.2
49,Brown,38106,38762,38974,656,868,1.7,2.3
51,Burleson,17187,17706,17823,519,636,3,3.7
53,Burnet,42750,43906,44177,1156,1427,2.7,3.3
55,Caldwell,38066,39014,39228,948,1162,2.5,3.1
57,Calhoun,21381,21692,21798,311,417,1.5,2
59,Callahan,13544,13616,13665,72,121,0.5,0.9
61,Cameron,406220,417573,419119,11353,12899,2.8,3.2
63,Camp,12401,12533,12579,132,178,1.1,1.4
65,Carson,6182,6325,6346,143,164,2.3,2.7
67,Cass,30464,30496,30540,32,76,0.1,0.2
69,Castro,8062,8167,8187,105,125,1.3,1.6
71,Chambers,35096,36745,37122,1649,2026,4.7,5.8
73,Cherokee,50845,51723,51932,878,1087,1.7,2.1
75,Childress,7041,7055,7044,14,3,0.2,0
77,Clay,10752,10844,10873,92,121,0.9,1.1
79,Cochran,3127,3125,3129,-2,2,-0.1,0.1
81,Coke,3320,3373,3401,53,81,1.6,2.4
83,Coleman,8895,8974,9001,79,106,0.9,1.2
85,Collin,782341,827521,835029,45180,52688,5.8,6.7
87,Collingsworth,3057,3095,3103,38,46,1.2,1.5
89,Colorado,20874,21037,21089,163,215,0.8,1
91,Comal,108472,115084,116524,6612,8052,6.1,7.4
93,Comanche,13974,14060,14094,86,120,0.6,0.9
95,Concho,4087,4116,4102,29,15,0.7,0.4
97,Cooke,38437,38981,39141,544,704,1.4,1.8
99,Coryell,75388,77462,78009,2074,2621,2.8,3.5
101,Cottle,1505,1522,1520,17,15,1.1,1
103,Crane,4375,4497,4545,122,170,2.8,3.9
105,Crockett,3719,3758,3770,39,51,1,1.4
107,Crosby,6059,6088,6091,29,32,0.5,0.5
109,Culberson,2398,2418,2432,20,34,0.8,1.4
111,Dallam,6703,7051,7144,348,441,5.2,6.6
113,Dallas,2368139,2427813,2439917,59674,71778,2.5,3
115,Dawson,13833,13888,13909,55,76,0.4,0.5
117,Deaf Smith,19372,19662,19710,290,338,1.5,1.7
119,Delta,5231,5307,5347,76,116,1.5,2.2
121,Denton,662614,704530,713574,41916,50960,6.3,7.7
123,De Witt,20097,21019,21248,922,1151,4.6,5.7
125,Dickens,2444,2469,2484,25,40,1,1.6
127,Dimmit,9996,10655,10753,659,757,6.6,7.6
129,Donley,3677,3724,3746,47,69,1.3,1.9
131,Duval,11782,11979,12062,197,280,1.7,2.4
133,Eastland,18583,18588,18592,5,9,0,0
135,Ector,137130,143141,145177,6011,8047,4.4,5.9
137,Edwards,2002,2024,2026,22,24,1.1,1.2
139,Ellis,149610,154522,155190,4912,5580,3.3,3.7
141,El Paso,800647,834869,841525,34222,40878,4.3,5.1
143,Erath,37890,39208,39504,1318,1614,3.5,4.3
145,Falls,17866,17941,17965,75,99,0.4,0.6
147,Fannin,33915,34421,34512,506,597,1.5,1.8
149,Fayette,24554,25656,25789,1102,1235,4.5,5
151,Fisher,3974,3953,3953,-21,-21,-0.5,-0.5
153,Floyd,6446,6463,6470,17,24,0.3,0.4
155,Foard,1336,1349,1353,13,17,1,1.3
157,Fort Bend,585375,624831,633313,39456,47938,6.7,8.2
159,Franklin,10605,10654,10659,49,54,0.5,0.5
161,Freestone,19816,20173,20243,357,427,1.8,2.2
163,Frio,17217,17963,18131,746,914,4.3,5.3
165,Gaines,17526,18081,18190,555,664,3.2,3.8
167,Galveston,291309,300849,303085,9540,11776,3.3,4
169,Garza,6461,6540,6541,79,80,1.2,1.2
171,Gillespie,24837,25519,25677,682,840,2.7,3.4
173,Glasscock,1226,1245,1245,19,19,1.5,1.5
175,Goliad,7210,7398,7448,188,238,2.6,3.3
177,Gonzales,19807,20299,20370,492,563,2.5,2.8
179,Gray,22535,22915,22987,380,452,1.7,2
181,Grayson,120877,122339,122614,1462,1737,1.2,1.4
183,Gregg,121730,124225,124726,2495,2996,2,2.5
185,Grimes,26604,27338,27479,734,875,2.8,3.3
187,Guadalupe,131533,139419,141100,7886,9567,6,7.3
189,Hale,36273,36712,36734,439,461,1.2,1.3
191,Hall,3353,3409,3408,56,55,1.7,1.6
193,Hamilton,8517,8644,8681,127,164,1.5,1.9
195,Hansford,5613,5636,5640,23,27,0.4,0.5
197,Hardeman,4139,4127,4144,-12,5,-0.3,0.1
199,Hardin,54635,55820,55997,1185,1362,2.2,2.5
201,Harris,4092459,4245204,4279430,152745,186971,3.7,4.6
203,Harrison,65631,67378,67786,1747,2155,2.7,3.3
205,Hartley,6062,6166,6215,104,153,1.7,2.5
207,Haskell,5899,5933,5932,34,33,0.6,0.6
209,Hays,157107,166718,168137,9611,11030,6.1,7
211,Hemphill,3807,3938,3974,131,167,3.4,4.4
213,Henderson,78532,79475,79593,943,1061,1.2,1.4
215,Hidalgo,774769,811904,818707,37135,43938,4.8,5.7
217,Hill,35089,35845,35937,756,848,2.2,2.4
219,Hockley,22935,23111,23170,176,235,0.8,1
221,Hood,51182,52396,52539,1214,1357,2.4,2.7
223,Hopkins,35161,35920,36126,759,965,2.2,2.7
225,Houston,23732,23827,23864,95,132,0.4,0.6
227,Howard,35012,35471,35640,459,628,1.3,1.8
229,Hudspeth,3476,3515,3519,39,43,1.1,1.2
231,Hunt,86129,87582,87777,1453,1648,1.7,1.9
233,Hutchinson,22150,22268,22301,118,151,0.5,0.7
235,Irion,1599,1698,1726,99,127,6.2,7.9
237,Jack,9044,9129,9138,85,94,0.9,1
239,Jackson,14075,14228,14291,153,216,1.1,1.5
241,Jasper,35710,36086,36145,376,435,1.1,1.2
243,Jeff Davis,2342,2419,2434,77,92,3.3,3.9
245,Jefferson,252273,254112,254574,1839,2301,0.7,0.9
247,Jim Hogg,5300,5370,5396,70,96,1.3,1.8
249,Jim Wells,40838,42160,42431,1322,1593,3.2,3.9
