,county_name,2012_unemp,2016_unemp,2020_unemp,2012_var_state,2016_var_state,2020_var_state,median_income_2012_2016_16_dollars,median_income_2020_16_dollars
0,Anderson,0.036,0.043,0.056,-0.029,-0.005,-0.012,42146,44871
1,Andrews,0.031,0.047,0.082,-0.034,-0.001,0.014,70121,69369
2,Angelina,0.051,0.059,0.076,-0.014,0.011,0.008,44185,47917
3,Aransas,0.068,0.056,0.085,0.003,0.008,0.017,44851,49153
4,Archer,0.034,0.043,0.053,-0.031,-0.005,-0.015,62407,59010
5,Armstrong,0.025,0.028,0.043,-0.04,-0.02,-0.025,65000,59652
6,Atascosa,0.042,0.053,0.084,-0.023,0.005,0.016,53181,53064
7,Austin,0.043,0.053,0.066,-0.022,0.005,-0.002,56681,63251
8,Bailey,0.043,0.044,0.048,-0.022,-0.004,-0.02,40589,42754
9,Bandera,0.036,0.041,0.058,-0.029,-0.007,-0.01,55434,55189
10,Bastrop,0.035,0.037,0.06,-0.03,-0.011,-0.008,55808,57988
11,Baylor,0.034,0.036,0.035,-0.031,-0.012,-0.033,34382,38462
12,Bee,0.064,0.075,0.098,-0.001,0.027,0.03,44005,40899
13,Bell,0.042,0.045,0.07,-0.023,-0.003,0.002,51529,50769
14,Bexar,0.035,0.038,0.075,-0.03,-0.01,0.007,52353,54589
15,Blanco,0.027,0.031,0.038,-0.038,-0.017,-0.03,56573,63337
16,Borden,0.035,0.036,0.033,-0.03,-0.012,-0.035,77569,66598
17,Bosque,0.04,0.043,0.055,-0.025,-0.005,-0.013,45419,51092
18,Bowie,0.045,0.047,0.074,-0.02,-0.001,0.006,42683,47414
19,Brazoria,0.053,0.052,0.086,-0.012,0.004,0.018,72006,77504
20,Brazos,0.031,0.035,0.053,-0.034,-0.013,-0.015,41654,50436
21,Brewster,0.035,0.038,0.067,-0.03,-0.01,-0.001,38440,44982
22,Briscoe,0.043,0.044,0.048,-0.022,-0.004,-0.02,40385,40981
23,Brooks,0.082,0.118,0.107,0.017,0.07,0.039,24913,29083
24,Brown,0.038,0.044,0.065,-0.027,-0.004,-0.003,43235,51889
25,Burleson,0.041,0.047,0.063,-0.024,-0.001,-0.005,52513,57171
26,Burnet,0.032,0.035,0.047,-0.033,-0.013,-0.021,54259,58173
27,Caldwell,0.039,0.043,0.063,-0.026,-0.005,-0.005,49533,51205
28,Calhoun,0.058,0.056,0.058,-0.007,0.008,-0.01,54167,51768
29,Callahan,0.037,0.043,0.054,-0.028,-0.005,-0.014,40568,47048
30,Cameron,0.069,0.072,0.102,0.004,0.024,0.034,34578,37864
31,Camp,0.056,0.069,0.074,-0.009,0.021,0.006,40045,43603
32,Carson,0.032,0.033,0.042,-0.033,-0.015,-0.026,64554,64593
33,Cass,0.06,0.072,0.079,-0.005,0.024,0.011,39366,41231
34,Castro,0.033,0.031,0.036,-0.032,-0.017,-0.032,42733,47904
35,Chambers,0.065,0.061,0.095,0.0,0.013,0.027,70396,86436
36,Cherokee,0.045,0.051,0.079,-0.02,0.003,0.011,40769,43126
37,Childress,0.03,0.03,0.037,-0.035,-0.018,-0.031,37125,40829
38,Clay,0.036,0.044,0.055,-0.029,-0.004,-0.013,45341,55540
39,Cochran,0.046,0.05,0.071,-0.019,0.002,0.003,38625,40502
40,Coke,0.037,0.041,0.055,-0.028,-0.007,-0.013,41756,44847
41,Coleman,0.044,0.058,0.074,-0.021,0.01,0.006,42049,41513
42,Collin,0.034,0.035,0.063,-0.031,-0.013,-0.005,86188,89673
43,Collingsworth,0.036,0.035,0.043,-0.029,-0.013,-0.025,40257,37328
44,Colorado,0.038,0.047,0.056,-0.027,-0.001,-0.012,45398,51488
45,Comal,0.034,0.036,0.062,-0.031,-0.012,-0.006,69666,81459
46,Comanche,0.037,0.043,0.055,-0.028,-0.005,-0.013,39054,50113
47,Concho,0.042,0.034,0.045,-0.023,-0.014,-0.023,48516,40112
48,Cooke,0.036,0.04,0.071,-0.029,-0.008,0.003,56269,56654
49,Coryell,0.043,0.047,0.066,-0.022,-0.001,-0.002,49275,49151
50,Cottle,0.043,0.051,0.049,-0.022,0.003,-0.019,33750,37453
51,Crane,0.053,0.086,0.136,-0.012,0.038,0.068,60133,63543
52,Crockett,0.041,0.075,0.089,-0.024,0.027,0.021,50646,50153
53,Crosby,0.041,0.044,0.052,-0.024,-0.004,-0.016,39026,35992
54,Culberson,0.036,0.041,0.065,-0.029,-0.007,-0.003,33981,41169
55,Dallam,0.021,0.022,0.028,-0.044,-0.026,-0.04,43897,51660
56,Dallas,0.038,0.04,0.077,-0.027,-0.008,0.009,51411,57229
57,Dawson,0.049,0.05,0.087,-0.016,0.002,0.019,42354,44597
58,Deaf Smith,0.031,0.031,0.036,-0.034,-0.017,-0.032,47219,42757
59,Delta,0.033,0.038,0.055,-0.032,-0.01,-0.013,40529,47544
60,Denton,0.033,0.034,0.065,-0.032,-0.014,-0.003,76678,84176
61,DeWitt,0.044,0.055,0.06,-0.021,0.007,-0.008,50582,48652
62,Dickens,0.047,0.049,0.063,-0.018,0.001,-0.005,42118,38864
63,Dimmit,0.051,0.071,0.064,-0.014,0.023,-0.004,32204,37329
64,Donley,0.036,0.04,0.044,-0.029,-0.008,-0.024,40560,38049
65,Duval,0.077,0.109,0.121,0.012,0.061,0.053,33115,34352
66,Eastland,0.043,0.055,0.067,-0.022,0.007,-0.001,34434,43510
67,Ector,0.041,0.064,0.11,-0.024,0.016,0.042,58335,60707
68,Edwards,0.032,0.046,0.035,-0.033,-0.002,-0.033,39457,37430
69,Ellis,0.046,0.038,0.06,-0.019,-0.01,-0.008,64382,45027
70,El Paso,0.034,0.05,0.083,-0.031,0.002,0.015,42075,72538
71,Erath,0.034,0.041,0.057,-0.031,-0.007,-0.011,42492,49115
72,Falls,0.042,0.044,0.06,-0.023,-0.004,-0.008,38547,38411
73,Fannin,0.033,0.038,0.047,-0.032,-0.01,-0.021,45471,51966
74,Fayette,0.032,0.037,0.047,-0.033,-0.011,-0.021,51290,57588
75,Fisher,0.035,0.043,0.045,-0.03,-0.005,-0.023,41531,47271
76,Floyd,0.055,0.05,0.062,-0.01,0.002,-0.006,43070,41687
77,Foard,0.034,0.037,0.042,-0.031,-0.011,-0.026,48068,35755
78,Fort Bend,0.046,0.05,0.077,-0.019,0.002,0.009,91152,93853
79,Franklin,0.046,0.049,0.053,-0.019,0.001,-0.015,42652,46880
80,Freestone,0.063,0.067,0.083,-0.002,0.019,0.015,45134,48621
81,Frio,0.038,0.049,0.057,-0.027,0.001,-0.011,37163,37370
82,Gaines,0.03,0.037,0.056,-0.035,-0.011,-0.012,58788,62195
83,Galveston,0.052,0.053,0.087,-0.013,0.005,0.019,63064,67791
84,Garza,0.033,0.039,0.068,-0.032,-0.009,0.0,52708,45347
85,Gillespie,0.026,0.028,0.048,-0.039,-0.02,-0.02,55850,57540
86,Glasscock,0.026,0.039,0.036,-0.039,-0.009,-0.032,62159,86814
87,Goliad,0.049,0.058,0.077,-0.016,0.01,0.009,54375,52554
88,Gonzales,0.035,0.042,0.054,-0.03,-0.006,-0.014,46630,44838
89,Gray,0.053,0.069,0.081,-0.012,0.021,0.013,45264,48651
90,Grayson,0.035,0.039,0.059,-0.03,-0.009,-0.009,50212,53184
91,Gregg,0.051,0.061,0.083,-0.014,0.013,0.015,47140,49201
92,Grimes,0.053,0.066,0.08,-0.012,0.018,0.012,47839,47825
93,Guadalupe,0.033,0.036,0.061,-0.032,-0.012,-0.007,64599,72964
94,Hale,0.051,0.056,0.068,-0.014,0.008,0.0,44995,45544
95,Hall,0.062,0.067,0.058,-0.003,0.019,-0.01,27244,33278
96,Hamilton,0.039,0.049,0.045,-0.026,0.001,-0.023,45105,48616
97,Hansford,0.025,0.031,0.035,-0.04,-0.017,-0.033,41335,54355
98,Hardeman,0.039,0.039,0.044,-0.026,-0.009,-0.024,35156,37090
99,Hardin,0.061,0.061,0.09,-0.004,0.013,0.022,54352,57978
100,Harris,0.05,0.053,0.089,-0.015,0.005,0.021,55584,57072
101,Harrison,0.052,0.06,0.079,-0.013,0.012,0.011,46230,51084
102,Hartley,0.02,0.02,0.021,-0.045,-0.028,-0.047,64614,67404
103,Haskell,0.047,0.042,0.043,-0.018,-0.006,-0.025,41067,35753
104,Hays,0.031,0.033,0.063,-0.034,-0.015,-0.005,60495,67491
105,Hemphill,0.025,0.037,0.044,-0.04,-0.011,-0.024,67773,66018
