FIPS,county,cqr_census_2010_count,july1_2016_pop_est,jan1_2017_pop_est,num_chg_10_16,num_chg_10_17,pct_chg_10_16,pct_chg_10_17
1,Anderson,58458,58305,58247,-153,-211,-0.3,-0.4
3,Andrews,14786,17829,17785,3043,2999,20.6,20.3
5,Angelina,86771,90652,90808,3881,4037,4.5,4.7
7,Aransas,23158,25234,25278,2076,2120,9,9.2
9,Archer,9054,9123,9119,69,65,0.8,0.7
11,Armstrong,1901,1904,1892,3,-9,0.2,-0.5
13,Atascosa,44911,49086,49242,4175,4331,9.3,9.6
15,Austin,28417,30565,30638,2148,2221,7.6,7.8
17,Bailey,7165,7159,7174,-6,9,-0.1,0.1
19,Bandera,20485,21897,22194,1412,1709,6.9,8.3
21,Bastrop,74171,85193,86472,11022,12301,14.9,16.6
23,Baylor,3726,3761,3889,35,163,0.9,4.4
25,Bee,31861,32910,32933,1049,1072,3.3,3.4
27,Bell,310235,341417,344916,31182,34681,10.1,11.2
29,Bexar,1714773,1918444,1932383,203671,217610,11.9,12.7
31,Blanco,10497,11403,11460,906,963,8.6,9.2
33,Borden,641,658,652,17,11,2.7,1.7
35,Bosque,18212,18525,18604,313,392,1.7,2.2
37,Bowie,92565,96524,96444,3959,3879,4.3,4.2
39,Brazoria,313166,351994,355251,38828,42085,12.4,13.4
41,Brazos,194851,219920,221500,25069,26649,12.9,13.7
43,Brewster,9232,9257,9323,25,91,0.3,1
45,Briscoe,1637,1404,1368,-233,-269,-14.2,-16.4
47,Brooks,7223,7175,7163,-48,-60,-0.7,-0.8
49,Brown,38106,39080,39033,974,927,2.6,2.4
51,Burleson,17187,18171,18191,984,1004,5.7,5.8
53,Burnet,42750,46447,46849,3697,4099,8.6,9.6
55,Caldwell,38066,40519,40767,2453,2701,6.4,7.1
57,Calhoun,21381,21698,21810,317,429,1.5,2
59,Callahan,13544,14147,14144,603,600,4.5,4.4
61,Cameron,406220,423998,423825,17778,17605,4.4,4.3
63,Camp,12401,12778,12820,377,419,3,3.4
65,Carson,6182,6098,6152,-84,-30,-1.4,-0.5
67,Cass,30464,30867,30794,403,330,1.3,1.1
69,Castro,8062,7594,7545,-468,-517,-5.8,-6.4
71,Chambers,35096,40863,41816,5767,6720,16.4,19.1
73,Cherokee,50845,52278,52094,1433,1249,2.8,2.5
75,Childress,7041,6937,6927,-104,-114,-1.5,-1.6
77,Clay,10752,10465,10383,-287,-369,-2.7,-3.4
79,Cochran,3127,3011,2990,-116,-137,-3.7,-4.4
81,Coke,3320,3245,3268,-75,-52,-2.3,-1.6
83,Coleman,8895,8657,8698,-238,-197,-2.7,-2.2
85,Collin,782341,959054,977394,176713,195053,22.6,24.9
87,Collingsworth,3057,2950,2942,-107,-115,-3.5,-3.8
89,Colorado,20874,21934,21971,1060,1097,5.1,5.3
91,Comal,108472,134668,136992,26196,28520,24.2,26.3
93,Comanche,13974,13865,13841,-109,-133,-0.8,-1
95,Concho,4087,4168,4157,81,70,2,1.7
97,Cooke,38437,39545,39597,1108,1160,2.9,3
99,Coryell,75388,75948,74994,560,-394,0.7,-0.5
101,Cottle,1505,1431,1438,-74,-67,-4.9,-4.5
103,Crane,4375,4886,4824,511,449,11.7,10.3
105,Crockett,3719,3649,3579,-70,-140,-1.9,-3.8
107,Crosby,6059,5908,5859,-151,-200,-2.5,-3.3
109,Culberson,2398,2233,2195,-165,-203,-6.9,-8.5
111,Dallam,6703,7193,7236,490,533,7.3,8
113,Dallas,2368139,2591002,2615995,222863,247856,9.4,10.5
115,Dawson,13833,13436,13246,-397,-587,-2.9,-4.2
117,Deaf Smith,19372,19567,19508,195,136,1,0.7
119,Delta,5231,5211,5160,-20,-71,-0.4,-1.4
121,Denton,662614,805292,818565,142678,155951,21.5,23.5
123,De Witt,20097,20960,20884,863,787,4.3,3.9
125,Dickens,2444,2131,2082,-313,-362,-12.8,-14.8
127,Dimmit,9996,10459,10211,463,215,4.6,2.2
129,Donley,3677,3463,3446,-214,-231,-5.8,-6.3
131,Duval,11782,11223,11078,-559,-704,-4.7,-6
133,Eastland,18583,18516,18576,-67,-7,-0.4,0
135,Ector,137130,159974,160278,22844,23148,16.7,16.9
137,Edwards,2002,1876,1870,-126,-132,-6.3,-6.6
139,Ellis,149610,168716,171796,19106,22186,12.8,14.8
141,El Paso,800647,841570,843589,40923,42942,5.1,5.4
143,Erath,37890,41392,41618,3502,3728,9.2,9.8
145,Falls,17866,17377,17495,-489,-371,-2.7,-2.1
147,Fannin,33915,35048,35490,1133,1575,3.3,4.6
149,Fayette,24554,25524,25505,970,951,4,3.9
151,Fisher,3974,3855,3850,-119,-124,-3,-3.1
153,Floyd,6446,5871,5871,-575,-575,-8.9,-8.9
155,Foard,1336,1191,1177,-145,-159,-10.9,-11.9
157,Fort Bend,585375,744199,758287,158824,172912,27.1,29.5
159,Franklin,10605,10757,10736,152,131,1.4,1.2
161,Freestone,19816,20131,20104,315,288,1.6,1.5
163,Frio,17217,18822,18831,1605,1614,9.3,9.4
165,Gaines,17526,20000,20088,2474,2562,14.1,14.6
167,Galveston,291309,326418,329063,35109,37754,12.1,13
169,Garza,6461,6389,6347,-72,-114,-1.1,-1.8
171,Gillespie,24837,26733,26962,1896,2125,7.6,8.6
173,Glasscock,1226,1286,1264,60,38,4.9,3.1
175,Goliad,7210,7742,7730,532,520,7.4,7.2
177,Gonzales,19807,20557,20656,750,849,3.8,4.3
179,Gray,22535,22683,22408,148,-127,0.7,-0.6
181,Grayson,120877,126364,127014,5487,6137,4.5,5.1
183,Gregg,121730,125907,125638,4177,3908,3.4,3.2
185,Grimes,26604,27647,27639,1043,1035,3.9,3.9
187,Guadalupe,131533,156046,157816,24513,26283,18.6,20
189,Hale,36273,34932,34689,-1341,-1584,-3.7,-4.4
191,Hall,3353,3104,3075,-249,-278,-7.4,-8.3
193,Hamilton,8517,8686,8815,169,298,2,3.5
195,Hansford,5613,5547,5533,-66,-80,-1.2,-1.4
197,Hardeman,4139,3870,3895,-269,-244,-6.5,-5.9
199,Hardin,54635,58206,58464,3571,3829,6.5,7
201,Harris,4092459,4565394,4582398,472935,489939,11.6,12
203,Harrison,65631,68716,68849,3085,3218,4.7,4.9
205,Hartley,6062,6342,6397,280,335,4.6,5.5
207,Haskell,5899,5709,5693,-190,-206,-3.2,-3.5
209,Hays,157107,201588,205502,44481,48395,28.3,30.8
211,Hemphill,3807,4048,3983,241,176,6.3,4.6
213,Henderson,78532,81750,82154,3218,3622,4.1,4.6
215,Hidalgo,774773,855229,861794,80456,87021,10.4,11.2
217,Hill,35089,35785,35837,696,748,2,2.1
219,Hockley,22935,23462,23409,527,474,2.3,2.1
221,Hood,51182,56616,57126,5434,5944,10.6,11.6
223,Hopkins,35161,36498,36510,1337,1349,3.8,3.8
225,Houston,23732,23370,23450,-362,-282,-1.5,-1.2
227,Howard,35012,36192,35785,1180,773,3.4,2.2
229,Hudspeth,3476,3673,3825,197,349,5.7,10
