county,Probability County=Democrat
anderson county,0.025634365212202935
andrews county,0.2577021361079006
angelina county,0.06230702285659078
aransas county,0.03368845935704313
archer county,0.005025551356588788
armstrong county,0.0012843796278911553
atascosa county,0.45427160045947185
austin county,0.02252856140657588
bailey county,0.18546211657294798
bandera county,0.00404139181345649
bastrop county,0.04546377138426986
baylor county,0.0034901572863410197
bee county,0.5405871248664189
bell county,0.3667389693273132
bexar county,0.9448279336548507
blanco county,0.002283867379186568
borden county,0.0012876632356523473
bosque county,0.0048668953639631465
bowie county,0.04218082206837526
brazoria county,0.2828140143041347
brazos county,0.20673897348800532
brewster county,0.0731965203416584
briscoe county,0.00897471842817303
brooks county,0.89270112012488
brown county,0.014198458755861745
burleson county,0.021669752221647125
burnet county,0.006227876780897864
caldwell county,0.14310332745803042
calhoun county,0.09348232323690571
callahan county,0.005596638555797755
cameron county,0.9048923463029908
camp county,0.06422557739808395
carson county,0.0034801514913044606
cass county,0.015042535452663796
castro county,0.12499946032634965
chambers county,0.05018903993805679
cherokee county,0.05175981464076697
childress county,0.020848805409564797
clay county,0.0019590423745230578
cochran county,0.271835823757449
coke county,0.006711916859390902
coleman county,0.015466967515076799
collin county,0.2141618424688207
collingsworth county,0.026165522909477313
colorado county,0.031405883949763486
comal county,0.026038389376111748
comanche county,0.00885439611301004
concho county,0.037872380781706565
cooke county,0.012221288075008236
coryell county,0.17028013998209324
cottle county,0.015199241355276264
crane county,0.6062678520374264
crockett county,0.31527656976688573
crosby county,0.14204832908025403
culberson county,0.45456963849872334
dallam county,0.046964261817547745
dallas county,0.9659725278272987
dawson county,0.32644193721317555
deaf smith county,0.3431601276854299
delta county,0.004534071440160562
denton county,0.07047691055176666
dewitt county,0.062046558360132155
dickens county,0.017396856246485494
dimmit county,0.6533747945306195
donley county,0.004388616950942737
duval county,0.9045946985981689
eastland county,0.014878807346469628
ector county,0.6719738495271629
edwards county,0.048419842911924846
ellis county,0.7724686769634258
el paso county,0.35084904124133665
erath county,0.031428871283211285
falls county,0.07013114039162541
fannin county,0.004556607923781546
fayette county,0.007278122656506034
fisher county,0.011738729328564975
floyd county,0.24391737861422777
foard county,0.004462826930490149
fort bend county,0.5769225038186694
franklin county,0.007235417308485971
freestone county,0.03040207586168345
frio county,0.5069403282608566
gaines county,0.12231236172114736
galveston county,0.17887723054480775
garza county,0.11859546903526375
gillespie county,0.0042370740491886804
glasscock county,0.005930944205352451
goliad county,0.044740259719158605
gonzales county,0.10652116102099772
gray county,0.05015393745721197
grayson county,0.019942464628251645
gregg county,0.14672955401849355
grimes county,0.07626113735394341
guadalupe county,0.12102254350118415
hale county,0.2529963224018499
hall county,0.036955663988498644
hamilton county,0.0032957237056300856
hansford county,0.0350343549052502
hardeman county,0.017430344921896105
hardin county,0.011744218831720539
harris county,0.9982790106737508
harrison county,0.05218802548742034
hartley county,0.004677064670796519
haskell county,0.017404409477231483
hays county,0.1258460286581381
hemphill county,0.02041452215457862
henderson county,0.014019989807154461
hidalgo county,0.9771360734842905
hill county,0.014894655347042577
hockley county,0.16486717028355172
hood county,0.005883995181223206
hopkins county,0.01745820216408061
houston county,0.018181963823419963
howard county,0.17488583117733425
hudspeth county,0.5598086468507905
hunt county,0.018514033365580156
hutchinson county,0.026291221276367766
irion county,0.010112569485865712
jack county,0.018162014337538238
jackson county,0.04077376310450479
jasper county,0.047085446921385526
jeff davis county,0.016656383111947348
jefferson county,0.6185068198520924
jim hogg county,0.8523902974468226
jim wells county,0.8678094450669922
johnson county,0.021182235534872293
jones county,0.05539514607993326
karnes county,0.13833717849334162
kaufman county,0.04813983058572515
kendall county,0.010145709849353276
kenedy county,0.4806503776773488
kent county,0.002558779041901638
kerr county,0.0103570052387615
kimble county,0.0069836056973329955
king county,0.0010831203864085555
kinney county,0.12632153636483945
kleberg county,0.650901308017295
knox county,0.03657569074301602
lamar county,1.3605615551910889e-06
lamb county,0.0891101724610306
lampasas county,0.0003509416625266077
la salle county,0.32651801333264857
lavaca county,0.011749440322592578
lee county,0.030554540189542245
leon county,0.013587693880376717
liberty county,0.08894860937440775
limestone county,0.04271897580196222
lipscomb county,0.010989385683026178
live oak county,0.05407887466460129
llano county,0.0015796584446429716
loving county,0.0011156469126068528
lubbock county,0.18855021154405
lynn county,0.0932436162944679
mcculloch county,0.0005511100760531696
mclennan county,5.716708248309308e-07
mcmullen county,0.5171878412778644
madison county,0.02126963907846363
marion county,0.6410370105450139
martin county,2.571669794907396e-07
mason county,0.2209834779897878
matagorda county,0.0010758499568504214
maverick county,0.9901933879529469
medina county,0.16000112120720447
menard county,0.02447702331837773
midland county,0.2866168440124952
milam county,0.053932307898994544
mills county,0.0038948591150821023
mitchell county,0.10159933886758825
montague county,0.007574538939499769
montgomery county,0.056823306522943984
moore county,0.15717999391437673
morris county,0.07752392163038381
motley county,0.00281200739998173
nacogdoches county,0.061710986713246985
navarro county,0.06620087432876326
newton county,0.04437744344647393
nolan county,0.04918766187234576
nueces county,0.6963480185901997
ochiltree county,0.09360703192742743
oldham county,0.004616531850302285
orange county,0.0255423008006309
palo pinto county,0.02350272916942511
panola county,0.026005906647833935
parker county,0.009099596718311528
parmer county,0.0955271019265192
pecos county,0.361865995224819
polk county,0.020277965990351938
potter county,0.179383799261321
presidio county,0.9248573107612144
rains county,0.0018852777796897464
randall county,0.022293581537877624
reagan county,0.3561916957329218
real county,0.013249024447429505
red river county,0.01387959031544163
reeves county,0.48131877010004137
refugio county,0.21787370802376196
roberts county,0.0018520093182676888
robertson county,0.044622077572930526
rockwall county,0.011034756606936673
runnels county,0.02219180802595205
rusk county,0.05600102659217434
sabine county,0.010006513823211629
san augustine county,0.03643197939409552
san jacinto county,0.03397654016246046
san patricio county,0.488432780123542
san saba county,0.014154716303947698
schleicher county,0.1325008658737869
scurry county,0.14790989902699878
shackelford county,0.003974920080767727
shelby county,0.04227299781612381
sherman county,0.01950791652206936
smith county,0.0780335439266708
somervell county,0.008094486098900872
starr county,0.9848651346513438
stephens county,0.014593843234114279
sterling county,0.021395388020101932
stonewall county,0.004534766608003182
sutton county,0.3220392220853142
swisher county,0.10140150887315583
tarrant county,0.7890272948503473
taylor county,0.06481095410156783
terrell county,0.05158113197395097
terry county,0.2199163888686868
throckmorton county,0.004286520314023948
titus county,0.10875920976514733
tom green county,0.13600991729672005
travis county,0.47040579704292795
trinity county,0.009228025524658021
tyler county,0.017960040392746856
upshur county,0.02145343702248727
