,Year,Reg Voters,Voted,Voted %,Early Vote,EV %,county
0,2012,"11,977","7,343",61.31%,"2,563",21.40%,bosque
1,2016,"12,002","7,823",65.18%,"3,898",32.48%,bosque
2,2020,"12,724","9,094",71.47%,"6,535",71.86%,bosque
3,2012,"22,565","13,944",61.79%,"8,713",38.61%,brown
4,2016,"23,424","14,018",59.84%,"9,986",42.63%,brown
5,2020,"23,954","15,940",66.54%,"12,544",78.70%,brown
6,2012,"3,804","1,667",43.82%,590,15.51%,jimhogg
7,2016,"3,942","2,119",53.75%,"1,331",33.76%,jimhogg
8,2020,"3,800","2,034",53.53%,"1,444",70.99%,jimhogg
9,2012,"18,005","11,644",64.67%,"6,046",33.58%,austin
10,2016,"19,263","12,273",63.71%,"7,351",38.16%,austin
11,2020,"20,293","14,368",70.80%,"11,550",80.39%,austin
12,2012,"6,663","4,256",63.88%,"2,350",35.27%,franklin
13,2016,"6,798","4,377",64.39%,"2,746",40.39%,franklin
14,2020,"7,061","5,000",70.81%,"3,938",78.76%,franklin
15,2012,"9,035","6,210",68.73%,"2,342",25.92%,newton
16,2016,"9,581","4,017",41.93%,"2,484",25.93%,newton
17,2020,"9,400","6,096",64.85%,"4,081",66.95%,newton
18,2012,"128,544","74,513",57.97%,"42,818",33.31%,mclennan
19,2016,"136,088","79,041",58.08%,"54,745",40.23%,mclennan
20,2020,"149,461","97,617",65.31%,"80,060",82.01%,mclennan
21,2012,"2,211","1,509",68.25%,655,29.62%,hemphill
22,2016,"2,368","1,690",71.37%,"1,046",44.17%,hemphill
23,2020,"2,355","1,720",73.04%,"1,175",68.31%,hemphill
24,2012,431,363,84.22%,195,45.24%,borden
25,2016,463,365,78.83%,214,46.22%,borden
26,2020,499,412,82.57%,306,74.27%,borden
27,2012,"30,627","11,864",38.74%,"7,295",23.82%,starr
28,2016,"32,064","11,691",36.46%,"4,768",14.87%,starr
29,2020,"34,050","17,478",51.33%,"14,282",81.71%,starr
30,2012,"1,760","1,010",57.39%,627,35.63%,schleicher
31,2016,"1,823","1,066",58.48%,720,39.5%,schleicher
32,2020,"1,709","1,158",67.76%,909,78.50%,schleicher
33,2012,"2,427","1,283",52.86%,776,31.97%,crane
34,2016,"2,679","1,382",51.59%,847,31.62%,crane
35,2020,"2,663",921,34.59%,672,72.96%,crane
36,2012,"35,587","16,560",46.53%,"10,122",28.44%,coryell
37,2016,"37,644","18,226",48.42%,"13,195",35.05%,coryell
38,2020,"41,450","23,425",56.51%,"19,277",82.29%,coryell
39,2012,"8,271","4,478",54.14%,"2,914",35.23%,andrews
40,2016,"9,130","4,941",54.12%,"3,429",37.56%,andrews
41,2020,"10,272",5856,57.01%,4776,81.56%,andrews
42,2012,"7,551","4,576",60.60%,"2,757",36.51%,sabine
43,2016,"7,710","4,645",60.25%,"2,983",38.69%,sabine
44,2020,"8,050","5,461",67.84%,"4,301",78.76%,sabine
45,2012,"7,195","4,972",69.10%,"2,548",35.41%,blanco
46,2016,"8,033","5,685",70.77%,"3,745",46.62%,blanco
47,2020,"9,344",",7419",79.40%,"6,432",86.70%,blanco
48,2012,"8,447","4,089",48.41%,"1,650",19.53%,lamb
49,2016,"8,305","3,905",47.02%,"1,704",20.52%,lamb
50,2020,"8,085","4,394",54.35%,"3,095",70.44%,lamb
51,2012,"15,825","10,539",66.60%,"4,634",29.28%,fayette
52,2016,"16,279","11,064",67.96%,"5,948",36.54%,fayette
53,2020,"17,398","12,924",74.28%,"9,289",71.87%,fayette
54,2012,"14,959","8,603",57.51%,"4,252",28.42%,grimes
55,2016,"15,713","9,533",60.67%,"5,472",34.82%,grimes
56,2020,"17,877","12,398",69.35%,"9,508",76.69%,grimes
57,2012,"11,943","6,625",55.47%,"3,615",30.27%,dewitt
58,2016,"11,856","6,822",57.54%,"4,094",34.53%,dewitt
59,2020,"12,094","8,118",67.12%,"6,229",76.73%,dewitt
60,2012,"1,141",700,61.35%,305,26.73%,briscoe
61,2016,"1,096",736,67.15%,349,31.84%,briscoe
62,2020,"1,025",724,70.63%,452,62.43%,briscoe
63,2012,"11,314","5,058",44.71%,"2,013",17.79%,willacy
64,2016,"12,306","5,082",41.3%,"2,269",18.44%,willacy
65,2020,"12,804","5,575",43.54%,"3,554",63.75%,willacy
66,2012,626,404,64.54%,214,34.19%,kent
67,2016,615,434,70.57%,261,42.44%,kent
68,2020,592,462,78.04%,324,70.13%,kent
69,2012,"10,884","6,942",63.78%,"2,985",27.43%,leon
70,2016,"11,159","7,439",66.66%,"3,721",33.35%,leon
71,2020,"11,727","8,672",73.95%,"5,708",65.82%,leon
72,2012,"42,806","20,065",46.87%,"11,613",27.13%,sanpatricio
73,2016,"41,354","21,582",52.19%,"14,221",34.39%,sanpatricio
74,2020,"43,248","25,850",59.77%,"21,966",84.97%,sanpatricio
75,2012,"2,532","1,592",62.88%,942,37.20%,baylor
76,2016,"2,433","1,499",61.61%,974,40.03%,baylor
77,2020,"2,408","1,680",69.77%,"1,373",81.73%,baylor
78,2012,"91,496","55,866",61.06%,"34,844",38.08%,brazos
79,2016,"106,804","67,029",62.76%,"46,926",43.94%,brazos
80,2020,"122,137","84,753",69.39%,"71,847",84.77%,brazos
81,2012,"57,307","35,357",61.70%,"19,689",34.36%,bowie
82,2016,"59,083","34,603",58.57%,"20,241",34.26%,bowie
83,2020,"61,407","38,138",62.11%,"29,978",78.60%,bowie
84,2012,"3,919","2,128",54.30%,"1,306",33.32%,yoakum
85,2016,"4,170","2,303",55.23%,"1,625",38.97%,yoakum
86,2020,"4,407","2,628",59.63%,"2,129",81.01%,yoakum
87,2012,"2,893","1,965",67.92%,"1,268",43.83%,mason
88,2016,"2,966","2,056",69.32%,"1,470",49.56%,mason
89,2020,"3,168","2,700",85.23%,"2,303",85.30%,mason
90,2012,"25,711","17,730",68.96%,"12,342",48.00%,kendall
91,2016,"29,077","20,069",69.02%,"16,526",56.84%,kendall
92,2020,"33,836","26,419",78.08%,"23,524",89.04%,kendall
93,2012,"35,888","20,713",57.72%,"11,744",32.72%,wise
94,2016,"39,092","24,759",63.34%,"17,541",44.87%,wise
95,2020,"45,643","32,297",70.76%,"27,362",84.72%,wise
96,2012,"89,133","53,773",60.33%,"34,455",38.66%,ellis
97,2016,"102,235","63,464",62.08%,"48,365",47.31%,ellis
98,2020,"120,188","85,371",71.03%,"75,075",87.94%,ellis
99,2012,"4,002","1,646",41.13%,724,18.09%,lasalle
100,2016,"4,173","2,053",49.2%,"1,125",26.96%,lasalle
101,2020,"4,426","2,406",54.36%,"1,613",67.04%,lasalle
102,2012,"6,782","3,866",57.00%,"2,707",39.91%,brewster
103,2016,"7,369","4,241",57.55%,"3,097",42.03%,brewster
104,2020,"7,524","4,805",63.86%,"3,978",82.79%,brewster
105,2012,"5,200","1,808",34.77%,"1,044",20.08%,presidio
106,2016,"4,806","2,208",45.94%,"1,500",31.21%,presidio
107,2020,"4,789","2,217",46.29%,"1,806",81.46%,presidio
108,2012,"6,701","3,665",54.69%,"3,665",54.69%,runnels
109,2016,"6,679","3,765",56.37%,"2,060",30.84%,runnels
110,2020,"7,025","4,262",60.67%,"3,082",72.31%,runnels
111,2012,"155,708","90,652",58.22%,"65,512",42.07%,lubbock
112,2016,"166,489","98,847",59.37%,"77,029",46.27%,lubbock
113,2020,"183,320","120,204",65.57%,"106,281",88.42%,lubbock
114,2012,851,494,58.05%,247,29.02%,sterling
115,2016,935,633,67.7%,44,4.71%,sterling
116,2020,939,639,68.05%,484,75.74%,sterling
117,2012,"2,326","1,406",60.45%,731,31.43%,coke
118,2016,"2,192","1,423",64.92%,743,33.9%,coke
119,2020,"2,414","1,794",74.32%,"1,278",71.24%,coke
120,2012,"14,270","9,502",66.59%,"7,014",49.15%,llano
121,2016,"15,160","10,430",68.8%,"8,419",55.53%,llano
122,2020,"16,688","13,278",79.57%,"11,919",89.77%,llano
123,2012,"7,831","4,185",53.44%,"1,399",17.86%,karnes
124,2016,"7,934","4,191",52.82%,"2,134",26.9%,karnes
125,2020,"8,359","5,229",62.56%,"3,671",70.20%,karnes
126,2012,"632,962","385,081",60.84%,"235,795",37.25%,travis
127,2016,"725,035","462,593",63.8%,"363,565",50.14%,travis
128,2020,"854,577","602,889",70.55%,"553,103",91.74%,travis
129,2012,"1,926","1,168",60.64%,292,15.16%,lipscomb
130,2016,"2,048","1,332",65.04%,419,20.46%,lipscomb
131,2020,"1,977","1,351",68.34%,568,42.04%,lipscomb
132,2012,"74,239","40,923",55.12%,"27,876",37.55%,wichita
133,2016,"78,618","38,219",48.61%,"27,199",34.6%,wichita
134,2020,"83,575","45,753",54.74%,"37,719",82.44%,wichita
135,2012,"5,662","3,509",61.97%,"2,147",37.92%,somervell
136,2016,"6,018","3,896",64.74%,"2,697",44.82%,somervell
137,2020,"6,712","4,940",73.60%,"4,268",86.40%,somervell
138,2012,"8,058","4,150",51.50%,"2,654",32.94%,pecos
139,2016,"8,170","4,177",51.13%,"2,892",35.4%,pecos
140,2020,"8,323","4,663",56.03%,"3,870",82.99%,pecos
141,2012,"13,501","7,563",56.02%,"3,958",29.32%,limestone
142,2016,"13,667","7,648",55.96%,"4,638",33.94%,limestone
143,2020,"13,963","9,092",65.11%,"6,885",75.73%,limestone
144,2012,"5,165","2,673",51.75%,"1,285",24.88%,refugio
145,2016,"5,085","2,948",57.97%,"1,706",33.55%,refugio
146,2020,"5,007","3,366",67.23%,"2,532",75.22%,refugio
147,2012,"12,438","6,050",48.64%,"3,508",28.20%,gonzales
148,2016,"12,272","6,323",51.52%,"4,173",34%,gonzales
149,2020,"12,629","7,534",59.66%,"6,010",79.77%,gonzales
150,2012,690,440,63.77%,243,35.22%,roberts
151,2016,716,554,77.37%,49,6.84%,roberts
152,2020,680,550,80.88%,364,66.18%,roberts
153,2012,"78,543","51,476",65.54%,"38,850",49.46%,comal
154,2016,"92,403","61,960",67.05%,"50,053",54.17%,comal
155,2020,"115,876","87,942",75.89%,"79,588",90.50%,comal
156,2012,"61,817","36,530",59.09%,"23,032",37.26%,tomgreen
157,2016,"64,471","38,296",59.4%,"25,236",39.14%,tomgreen
158,2020,"70,086","44,886",64.04%,"33,323",74.24%,tomgreen
159,2012,"9,979","5,562",55.74%,"1,960",19.64%,jones
160,2016,"10,101","5,954",58.94%,"3,018",29.88%,jones
161,2020,"9,635","6,691",69.44%,"4,384",65.52%,jones
162,2012,"1,696","1,001",59.02%,345,20.34%,concho
163,2016,"1,662","1,068",64.26%,472,28.4%,concho
164,2020,"1,757","1,268",72.17%,783,61.75%,concho
165,2012,"17,692","8,902",50.32%,"4,872",27.54%,kleberg
166,2016,"17,998","9,506",52.82%,"6,135",34.09%,kleberg
167,2020,"18,749","11,041",58.89%,"8,893",80.55%,kleberg
168,2012,"4,285","2,777",64.81%,"1,071",24.99%,carson
169,2016,"4,317","2,961",68.59%,"1,353",31.34%,carson
170,2020,"4,345","3,081",70.91%,"1,895",61.51%,carson
171,2012,"48,792","27,993",57.37%,"13,506",27.68%,hunt
172,2016,"52,384","31,312",59.77%,"17,313",33.05%,hunt
173,2020,"59,367","38,517",64.88%,"28,261",73.37%,hunt
174,2012,"1,177,468","705,941",59.95%,"444,619",37.76%,dallas
175,2016,"1,287,082","750,649",58.32%,"542,085",42.12%,dallas
176,2020,"1,398,469","917,245",65.59%,"800,050",87.22%,dallas
177,2012,"9,424","4,983",52.88%,"2,408",25.55%,moore
178,2016,"9,667","5,279",54.61%,"3,231",33.42%,moore
179,2020,"9,995","5,502",55.05%,"3,753",68.21%,moore
180,2012,"1,286",813,63.22%,372,28.93%,throckmorton
181,2016,"1,229",808,65.74%,364,29.62%,throckmorton
182,2020,"1,216",899,73.93%,543,60.40%,throckmorton
183,2012,"2,612","1,495",57.24%,751,28.75%,hardeman
184,2016,"2,536","1,513",59.66%,869,34.27%,hardeman
185,2020,"2,486","1,580",63.56%,"1,014",64.18%,hardeman
186,2012,"9,681","6,216",64.21%,"3,194",32.99%,lee
187,2016,"10,298","6,531",63.42%,"3,852",37.41%,lee
188,2020,"11,145","8,075",72.45%,"6,548",81.09%,lee
189,2012,"3,727","1,787",47.95%,829,22.24%,crosby
190,2016,"3,604","1,726",47.89%,863,23.95%,crosby
191,2020,"3,629","2,130",58.69%,"1,565",73.47%,crosby
192,2012,894,555,62.08%,395,44.18%,terrell
193,2016,700,437,62.43%,317,45.29%,terrell
194,2020,673,458,68.05%,360,78.60%,terrell
195,2012,"2,350","1,363",58.00%,731,31.11%,shackelford
196,2016,"2,328","1,504",64.6%,963,41.37%,shackelford
197,2020,"2,320","1,628",70.17%,"1,250",76.78%,shackelford
198,2012,"79,474","49,249",61.97%,"33,697",42.40%,guadalupe
199,2016,"93,543","57,534",61.51%,"44,772",47.86%,guadalupe
200,2020,"111,142","77,382",69.62%,"68,026",87.91%,guadalupe
201,2012,"6,322","4,163",65.85%,"1,659",26.24%,archer
202,2016,"6,314","4,277",67.74%,"2,284",36.17%,archer
203,2020,"6,538","4,796",73.36%,"3,623",75.54%,archer
204,2012,"178,505","106,423",59.62%,"79,575",44.58%,brazoria
205,2016,"196,507","120,911",61.53%,"98,652",50.2%,brazoria
206,2020,"224,256","15,4037",68.69%,"139,447",90.53%,brazoria
207,2012,"30,867","18,546",60.08%,"11,149",36.12%,rusk
208,2016,"31,331","18,994",60.62%,"13,324",42.53%,rusk
209,2020,"32,388","21,348",65.91%,"16,184",75.81%,rusk
210,2012,"9,718","5,434",55.92%,"2,130",21.92%,falls
211,2016,"10,135","5,242",51.72%,"2,344",23.13%,falls
212,2020," 10,361","6,133",59.19%,"3,683",60.05%,falls
213,2012,"2,863","1,904",66.50%,"1,037",36.22%,hartley
214,2016,"2,975","1,949",65.51%,"1,090",36.64%,hartley
215,2020,"2,909","2,076",71.36%,"1,622",78.13%,hartley
216,2012,"52,296","26,425",50.53%,"14,853",28.40%,potter
217,2016,"54,999","28,383",51.61%,"20,130",36.6%,potter
218,2020,"57,736","33,177",57.46%,"26,841",80.90%,potter
219,2012,734,508,69.21%,253,34.47%,mcmullen
220,2016,709,499,70.38%,309,43.58%,mcmullen
221,2020,706,516,73.09%,366,70.93%,mcmullen
222,2012,"264,980","172,894",65.25%,"121,200",45.74%,montgomery
223,2016,"311,880","204,404",65.54%,"154,646",49.59%,montgomery
224,2020,"370,060","271,175",73.28%,"236,503",87.21%,montgomery
225,2012,"68,161","41,366",60.69%,"31,276",45.89%,gregg
226,2016,"69,403","41,618",59.97%,"33,905",48.85%,gregg
227,2020,"72,867","47,700",65.46%,"42,687",89.49%,gregg
228,2012,"6,392","2,868",44.87%,"1,359",21.26%,reeves
229,2016,"7,103","3,184",44.83%,"2,053",28.9%,reeves
230,2020,"7,558","3,683",48.73%,"2,739",74.37%,reeves
231,2012,"6,622","2,403",36.29%,"1,123",16.96%,brooks
232,2016,"6,428","2,596",40.39%,"1,536",23.9%,brooks
233,2020,"5,521","2,484",44.99%,"1,821",73.31%,brooks
234,2012,"3,874","1,955",50.46%,979,25.27%,lynn
235,2016,"3,893","2,009",51.61%,835,21.45%,lynn
236,2020,"4,028","2,293",56.93%,"1,273",55.52%,lynn
237,2012,821,600,73.08%,306,37.27%,motley
238,2016,857,620,72.35%,363,42.36%,motley
239,2020,859,652,75.90%,443,67.94%,motley
240,2012,"3,322","2,020",60.81%,912,27.45%,delta
